Kampanya İsmi;Gönderim Tarihi;E-Posta Konusu;Gönderim Kriterleri;Hariç Tutulacak Kriterler;Gönderilen;Okunan;Okuma Oranı;Tekil Tıklama;Tekil Tıklama Oranı;Toplam Okuma;Toplam Tıklama;Ulaşmayan;Ulaşmayan Oranı;Geçersiz;Geçersiz Oranı;Diğer;Diğer Oran;Üyelikten Ayrılanlar;Üyelikten Ayrılan Oranı;Şikayet;Şikayet Oranı;Ziyaretçi;Satın Alan;Satın Alan Oranı;Ürün;Ciro
ankANK_5461941;16/10/2025 08:30;<##PersonalSubject##>;;;13498;4011;29,72;0;0,00;4467;0;4;0,03;12;0,09;9471;70,17;0;0,00;0;0,00;;0;0,00;0;
antANT_5461947;16/10/2025 08:30;<##PersonalSubject##>;;;5768;1656;28,71;0;0,00;1837;0;1;0,02;8;0,14;4103;71,13;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461945;16/10/2025 08:30;<##PersonalSubject##>;;;5657;1748;30,90;0;0,00;1936;0;4;0,07;11;0,19;3894;68,84;0;0,00;0;0,00;;0;0,00;0;
istIST_5461939;16/10/2025 08:30;<##PersonalSubject##>;;;79489;22746;28,62;4;0,02;25669;10;37;0,05;67;0,08;56639;71,25;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461943;16/10/2025 08:30;<##PersonalSubject##>;;;17384;4708;27,08;1;0,02;5254;1;0;0,00;24;0,14;12652;72,78;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461931;15/10/2025 08:30;<##PersonalSubject##>;;;13538;3574;26,40;0;0,00;4041;0;599;4,42;9;0,07;9356;69,11;0;0,00;0;0,00;;0;0,00;0;
istIST_5461929;15/10/2025 08:30;<##PersonalSubject##>;;;79625;20907;26,26;19;0,09;23461;36;1653;2,08;69;0,09;56996;71,58;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461933;15/10/2025 08:30;<##PersonalSubject##>;;;17352;4435;25,56;1;0,02;4897;1;289;1,67;21;0,12;12607;72,65;0;0,00;0;0,00;;0;0,00;0;
antANT_5461937;15/10/2025 08:30;<##PersonalSubject##>;;;5954;1441;24,20;3;0,21;1623;15;104;1,75;6;0,10;4403;73,95;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461935;15/10/2025 08:30;<##PersonalSubject##>;;;5598;1663;29,71;0;0,00;1902;0;83;1,48;5;0,09;3847;68,72;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_20251014_YEU_5462841;14/10/2025 14:15;Dünyayı Keşfetme Zamanı! En Popüler Turlar Seni Bekliyor;;;153727;24387;15,86;571;2,34;27525;11128;48;0,03;527;0,34;128765;83,76;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_20251014_YEU_5462829;14/10/2025 13:45;Dünyayı Keşfetme Zamanı! En Popüler Turlar Seni Bekliyor;;;127244;23900;18,78;577;2,41;26830;19582;63;0,05;266;0,21;103015;80,96;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461925;14/10/2025 08:30;<##PersonalSubject##>;;;5600;1811;32,34;0;0,00;2069;0;1;0,02;5;0,09;3783;67,55;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461923;14/10/2025 08:30;<##PersonalSubject##>;;;17419;4812;27,63;0;0,00;5462;0;1;0,01;16;0,09;12590;72,28;0;0,00;0;0,00;;0;0,00;0;
antANT_5461927;14/10/2025 08:30;<##PersonalSubject##>;;;5747;1623;28,24;0;0,00;1814;0;1;0,02;11;0,19;4112;71,55;0;0,00;0;0,00;;0;0,00;0;
istIST_5461919;14/10/2025 08:30;<##PersonalSubject##>;;;79410;22229;27,99;19;0,09;25371;66;33;0,04;62;0,08;57086;71,89;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461921;14/10/2025 08:30;<##PersonalSubject##>;;;13482;4138;30,69;0;0,00;4851;0;5;0,04;14;0,10;9325;69,17;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461915;13/10/2025 08:30;<##PersonalSubject##>;;;5639;1679;29,77;1;0,06;1884;2;4;0,07;9;0,16;3947;69,99;0;0,00;0;0,00;;0;0,00;0;
istIST_5461909;13/10/2025 08:30;<##PersonalSubject##>;;;79584;21566;27,10;60;0,28;25016;95;107;0,13;67;0,08;57844;72,68;0;0,00;0;0,00;;0;0,00;0;
antANT_5461917;13/10/2025 08:30;<##PersonalSubject##>;;;5780;1581;27,35;2;0,13;1795;4;0;0,00;5;0,09;4194;72,56;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461913;13/10/2025 08:30;<##PersonalSubject##>;;;17401;4877;28,03;14;0,29;5550;24;3;0,02;19;0,11;12502;71,85;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461911;13/10/2025 08:30;<##PersonalSubject##>;;;13554;3989;29,43;30;0,75;4661;45;5;0,04;13;0,10;9547;70,44;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461905;12/10/2025 08:30;<##PersonalSubject##>;;;5747;1775;30,89;6;0,34;2036;7;4;0,07;2;0,03;3966;69,01;0;0,00;0;0,00;;0;0,00;0;
istIST_5461899;12/10/2025 08:30;<##PersonalSubject##>;;;79051;22428;28,37;71;0,32;25799;71;23;0,03;66;0,08;56534;71,52;0;0,00;0;0,00;;0;0,00;0;
antANT_5461907;12/10/2025 08:30;<##PersonalSubject##>;;;5848;1539;26,32;1;0,06;1780;1;0;0,00;10;0,17;4299;73,51;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461901;12/10/2025 08:30;<##PersonalSubject##>;;;13527;4156;30,72;30;0,72;4737;51;4;0,03;3;0,02;9364;69,22;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461903;12/10/2025 08:30;<##PersonalSubject##>;;;17415;4787;27,49;5;0,10;5401;5;3;0,02;19;0,11;12606;72,39;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461897;11/10/2025 13:00;<##PersonalSubject##>;;;114289;30360;26,56;108;0,36;34953;177;41;0,04;62;0,05;83826;73,35;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461889;11/10/2025 08:30;<##PersonalSubject##>;;;13458;3797;28,21;32;0,84;4393;47;6;0,04;18;0,13;9637;71,61;0;0,00;0;0,00;;0;0,00;0;
antANT_5461895;11/10/2025 08:30;<##PersonalSubject##>;;;5887;1529;25,97;1;0,07;1766;4;1;0,02;11;0,19;4346;73,82;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461891;11/10/2025 08:30;<##PersonalSubject##>;;;17474;4451;25,47;4;0,09;5084;6;1;0,01;24;0,14;12998;74,38;0;0,00;0;0,00;;0;0,00;0;
istIST_5461887;11/10/2025 08:30;<##PersonalSubject##>;;;79341;20772;26,18;87;0,42;23932;118;27;0,03;69;0,09;58473;73,70;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461893;11/10/2025 08:30;<##PersonalSubject##>;;;5667;1582;27,92;6;0,38;1797;12;3;0,05;7;0,12;4075;71,91;0;0,00;0;0,00;;0;0,00;0;
antANT_20251010_YEU_5462819;10/10/2025 17:35;Antalya'da Haftanın Parlayan Fırsatları Grupanya'da!;;;17456;2392;13,70;42;1,76;2682;53;0;0,00;36;0,21;15046;86,19;0;0,00;0;0,00;;0;0,00;0;
burBUR_20251010_YEU_5462817;10/10/2025 17:30;Bursa'da Haftanın Parlayan Fırsatları Grupanya'da!;;;17197;2511;14,60;62;2,47;2794;77;1;0,01;34;0,20;14663;85,26;0;0,00;0;0,00;;0;0,00;0;
